emotion,kind,layer,I_final,I_final_normalized
surprise,attention,22,2.2562988577750107,0.0419222348590451
surprise,attention,23,2.2261594908638664,0.041362242722454694
surprise,attention,24,2.129592138841466,0.03956801267298718
surprise,attention,25,2.0092414470742948,0.03733188604094728
surprise,attention,26,1.7819790412547645,0.033109330186447974
surprise,attention,27,1.590907359957526,0.029559201234933795
surprise,mlp,0,0.0506642563789059,0.0009413464211783772
surprise,mlp,1,0.0147532161687544,0.00027411607776227343
surprise,mlp,2,0.0008598445960262,1.5975989604691604e-05
surprise,mlp,3,-0.0069125570962473,-0.00012843592995974242
surprise,mlp,4,0.0116372384284526,0.00021622093227019758
surprise,mlp,5,-0.0475361687538868,-0.0008832262729436527
surprise,mlp,6,0.0599903799699007,0.0011146266327775232
surprise,mlp,7,0.0511919036968316,0.0009511501556032752
surprise,mlp,8,-0.0195340793698019,-0.0003629449442276506
surprise,mlp,9,0.0221955392575125,0.0004123951073104603
surprise,mlp,10,0.0819950148747618,0.0015234747201176954
surprise,mlp,11,0.0647224894340557,0.001202549650444892
surprise,mlp,12,0.4511403312228537,0.00838222775974023
surprise,mlp,13,0.6916539480863494,0.012850992302258685
surprise,mlp,14,1.0937332257811256,0.020321661293377077
surprise,mlp,15,1.4693296754597698,0.027300276968066105
surprise,mlp,16,1.5901987286505408,0.029546034801782646
surprise,mlp,17,1.7796894314998783,0.033066789032137174
surprise,mlp,18,1.8864396111140616,0.03505021693026772
surprise,mlp,19,2.13184347555998,0.03960984271085433
surprise,mlp,20,2.186626757766474,0.04062772100082286
surprise,mlp,21,2.394785115955036,0.04449532193931711
surprise,mlp,22,2.3764354696090475,0.044154383866753646
surprise,mlp,23,2.2557709232107044,0.041912425787556724
surprise,mlp,24,2.116731355422828,0.039329058165214606
surprise,mlp,25,1.9357419888468923,0.03596625952422766
surprise,mlp,26,1.7027478220996124,0.031637207038335315
surprise,mlp,27,1.335749654566872,0.02481834821600775
